Id;Length;Gills;Beak;Teeth;Dolphin
88;4;N;Y;F;Y
89;4;N;Y;F;Y
90;4;N;Y;F;Y
91;5;N;Y;F;Y
92;5;N;Y;M;N
93;5;N;N;F;N
94;3;N;Y;F;Y
95;4;Y;Y;F;Y
96;4;Y;Y;M;N
97;4;N;Y;F;Y
98;4;N;N;F;Y
99;4;N;Y;F;Y
100;5;N;Y;F;Y
101;5;Y;Y;F;Y
102;5;N;Y;F;N
103;3;N;Y;M;Y
104;4;N;Y;F;Y
105;3;Y;Y;F;Y
106;5;N;Y;F;Y
107;5;N;N;F;Y
108;3;N;N;F;Y
109;4;N;Y;M;N
110;4;N;Y;F;Y
111;4;N;Y;F;Y
112;3;N;N;F;Y
113;5;Y;Y;F;Y
114;3;N;Y;F;Y
115;4;N;Y;F;Y
116;3;N;Y;F;Y
117;5;N;Y;F;Y
118;5;N;N;F;N
119;3;Y;Y;M;N
120;4;N;Y;M;Y
121;5;N;Y;F;N
122;5;N;Y;F;N
123;5;Y;Y;F;N
124;3;N;Y;F;N
125;4;N;N;F;N
126;4;N;Y;F;Y
127;5;N;N;F;Y
128;3;N;Y;M;N
129;4;N;Y;F;Y
130;5;N;Y;F;N
131;3;Y;Y;F;Y
132;3;N;Y;F;Y
133;3;N;Y;F;Y
134;3;Y;Y;F;Y
135;3;N;Y;F;Y
136;3;N;Y;F;Y
137;3;N;Y;M;Y
138;3;N;Y;F;Y
139;3;N;Y;F;Y
140;3;Y;Y;F;Y
141;3;N;Y;F;Y
142;3;N;Y;M;Y
143;3;N;Y;F;Y
144;3;N;Y;F;Y
145;3;N;Y;F;Y
146;3;N;Y;F;Y
147;4;N;Y;F;Y
148;4;N;N;M;N
149;4;N;N;F;N
150;4;N;N;M;N
151;4;N;N;F;N
152;4;N;N;F;N
153;3;Y;N;M;N
154;5;Y;N;F;N
155;5;N;N;F;N
156;5;N;N;M;N
157;5;N;N;F;N
158;5;N;N;F;N
159;5;N;N;F;N
160;5;N;N;F;N
161;5;N;N;F;N
162;3;N;N;F;N
163;4;Y;Y;M;N
164;4;N;Y;F;Y
165;4;N;Y;F;Y
166;3;N;Y;M;Y
167;5;N;Y;M;N
168;3;N;N;F;N
169;3;N;N;F;Y
170;4;Y;Y;M;N
171;4;N;Y;F;N
172;4;N;Y;M;N
173;4;N;Y;F;N
174;5;N;Y;F;Y
175;5;N;N;F;Y
176;5;N;N;F;N
177;3;N;Y;F;Y
178;4;Y;Y;M;N
179;4;N;N;F;N
180;4;N;N;F;N
181;3;N;N;F;N
182;5;N;N;F;N
183;3;N;N;F;N
184;5;Y;N;F;N
185;5;N;N;F;N
186;5;N;N;F;N
187;3;N;N;F;N
188;4;N;N;F;N
189;4;N;N;F;N
190;4;N;N;F;N
191;3;N;N;F;N
192;5;N;N;F;N
193;3;Y;N;F;N
194;5;N;Y;F;Y
195;5;N;Y;F;Y
196;5;N;N;F;Y
197;3;N;Y;F;Y
198;4;N;Y;F;Y
199;4;Y;Y;F;Y
200;4;N;N;F;N
201;3;N;N;F;N
202;5;N;N;F;N
203;3;N;N;F;N
204;4;N;N;F;N
205;4;N;N;F;N
206;3;N;N;F;N
207;5;N;N;F;N
208;3;N;N;F;N
209;4;N;N;F;N
210;4;Y;N;F;N
211;3;N;N;F;N
212;5;N;N;F;N
213;3;N;N;F;N
214;5;N;N;F;N
215;5;N;Y;M;Y
216;5;Y;Y;F;Y
217;4;N;N;F;Y
218;4;N;Y;F;Y
219;4;N;Y;F;Y
220;4;N;Y;F;Y
221;5;N;Y;F;Y
222;5;N;Y;M;N
223;5;N;N;F;N
224;3;N;N;F;N
225;4;Y;N;F;N
226;4;Y;N;M;N
227;4;N;N;F;N
228;4;N;N;F;N
229;4;N;N;F;N
230;5;N;N;F;N
231;5;Y;N;F;N
232;5;N;N;F;N
233;3;N;N;M;N
234;4;N;N;F;N
235;3;Y;N;F;N
236;5;N;N;F;N
237;5;N;N;F;N
238;3;N;N;F;N
239;4;N;Y;M;N
240;4;N;N;F;N
241;4;N;N;F;N
242;3;N;N;F;N
243;5;Y;N;F;N
244;3;N;N;F;N
245;4;N;N;F;N
246;3;N;N;F;N
247;5;N;N;F;N
248;4;N;N;M;N
249;4;N;N;F;N
250;4;N;N;F;N
251;3;N;N;F;N
252;5;Y;N;M;N
253;3;N;N;M;N
254;4;N;N;M;N
255;3;Y;Y;F;Y
256;4;Y;N;F;Y
257;3;Y;N;F;Y
258;4;Y;Y;F;Y
259;3;Y;Y;F;Y
260;4;Y;Y;F;Y
261;3;Y;Y;M;Y
262;4;Y;Y;F;Y
263;3;Y;Y;F;Y
264;4;Y;Y;F;Y
265;3;Y;N;F;Y
266;4;Y;Y;M;Y
267;3;Y;Y;F;Y
268;4;Y;N;F;Y
269;3;Y;Y;F;Y
270;4;Y;Y;F;Y
271;3;Y;N;F;Y
